Region,Country,Year,All Types,Beer,Other,Spirits,Wine
Africa,Burundi,2011,6.75,0.58,6.26,0.03,0
Africa,Côte d'Ivoire,2000,7.11,0.65,6.37,0.03,0
Africa,Côte d'Ivoire,2001,8.29,3.62,0.01,4.88,0.39
Africa,Côte d'Ivoire,2002,10.13,3.85,0.26,5.46,0.35
Africa,Côte d'Ivoire,2003,8.47,3.79,0.17,4.04,0.31
Africa,Côte d'Ivoire,2004,11.85,3.22,0.06,7.91,1.18
Africa,Côte d'Ivoire,2005,12.68,3.57,0.89,6.56,1.68
Africa,Côte d'Ivoire,2006,9.99,3.28,0.51,5.03,1.3
Africa,Côte d'Ivoire,2007,4.94,1.96,0.01,2.82,0.07
Africa,Côte d'Ivoire,2008,5.89,2.43,0.13,3,0.27
Africa,Côte d'Ivoire,2009,6.93,2.32,0.12,4.14,0.3
Africa,Côte d'Ivoire,2010,3.3,2.85,3,0.22,0.02
Africa,Côte d'Ivoire,2011,3.85,3.31,3,0.17,0.09
Africa,Côte d'Ivoire,2012,5.07,2.57,0,0.64,0.09
Africa,Côte d'Ivoire,2013,5.27,1.14,0,0.74,3.91
Africa,Cabo Verde,2000,5.58,0.94,0,0.52,2.67
Africa,Cabo Verde,2001,0.05,0,0,0.05,0
Africa,Cabo Verde,2002,0.09,0,0,0.08,0.01
Africa,Cabo Verde,2003,0.09,0,0,0.09,0
Africa,Cabo Verde,2004,0.33,0.16,0,0.03,0.18
Africa,Cabo Verde,2005,0.28,0.16,0,0.03,0.12
Africa,Cabo Verde,2006,0.26,0.15,0,0.03,0.11
Africa,Cabo Verde,2007,7.25,3.65,0,2.64,1.51
Africa,Cabo Verde,2008,9.54,3.62,0.21,2.12,3.38
Africa,Cabo Verde,2009,9.16,2.93,0.21,2.1,4.18
